,Unnamed: 0,page,product_link,img_link,brand_name,product_name,star,review_count,ingredient,type
0,0,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000170636&dispCatNo=1000001000400070003&trackingCd=Cat1000001000400070003_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EB%91%90%ED%94%BC%ED%8C%A9/%EC%8A%A4%EC%BC%80%EC%9D%BC%EB%9F%AC_%EC%86%8C_%EB%91%90%ED%94%BC%ED%8C%A9/%EC%8A%A4%EC%BC%80%EC%9D%BC%EB%9F%AC__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=1,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0017/A00000017063612ko.jpg?l=ko,그로우어스,[10월 올영픽]그로우어스 씨솔트 테라피 두피스케일러 대용량 250g+30g 증정기획,4.7,2150,"소듐클로라이드(352,840ppm), 해수(150,000ppm), 정제수, 글리세린, 코카마이드미파, 소듐라우로일글루타메이트, 데실글루코사이드, 라우릴베타인, 다이소듐라우레스설포석시네이트, 글라이콜다이스테아레이트, 솔비톨, 카프릴릴글라이콜, 멘톨, 다시마가루, 살리실릭애씨드, 판테놀, 구아하이드록시프로필트라이모늄클로라이드, 나이아신아마이드, 다이소듐이디티에이, 씨솔트(1,000ppm), 카라멜, 다이프로필렌글라이콜, 글리세릴카프릴레이트, 부틸렌글라이콜, 스피룰리나 플라텐시스추출물, 1,2-헥산다이올, 다시마추출물, 미역추출물, 에틸헥실글리세린, 향료, 알파-아이소메틸아이오논, 리모넨, 리날룰","비듬,지성,건성,민감성,탈모"
1,1,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000183432&dispCatNo=1000001000400070003&trackingCd=Cat1000001000400070003_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EB%91%90%ED%94%BC%ED%8C%A9/%EC%8A%A4%EC%BC%80%EC%9D%BC%EB%9F%AC_%EC%86%8C_%EB%91%90%ED%94%BC%ED%8C%A9/%EC%8A%A4%EC%BC%80%EC%9D%BC%EB%9F%AC__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=2,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0018/A00000018343203ko.jpg?l=ko,바이브랩,바이브랩 리바이브 테라피 헤어 스칼프 앤 브로우 앰플,4.7,2270,"정제수, 에탄올, 부틸렌글라이콜, 메틸프로판다이올, 글리세린, 1,2-헥산다이올, 피피지-13-데실테트라데세스-24, 트로메타민, 엘-멘톨, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 살리실릭애씨드, 덱스판테놀, 프로판다이올, 녹차추출물, 병풀추출물, 센티드제라늄꽃오일, 다이소듐이디티에이, 지황뿌리추출물, 구기자추출물, 비치스트로베리추출물, 불가리스매자뿌리추출물, 검은뽕나무열매추출물, 산수유열매추출물, 질경이택사덩이줄기추출물, 감추출물, 동백나무잎추출물, 캐롭열매추출물, 에틸헥실글리세린, 모란뿌리추출물, 참마뿌리추출물, 미리스토일펜타펩타이드-4, 중국토복령추출물, 페녹시에탄올, 하이드록시프로필사이클로덱스트린, 동백나무꽃추출물, 칼메그추출물, 레스페데자 카피타타잎/줄기추출물, 요엽후박나무껍질추출물, 황금추출물, 쓴풀추출물, 하수오뿌리추출물, 한련초추출물, 참당귀뿌리추출물, 울금뿌리추출물, 측백나무잎추출물, 생강추출물, 당개나리열매추출물, 오미자추출물, 은행나무잎추출물, 인삼추출물, 잇꽃꽃추출물, 감초뿌리추출물, 검정콩추출물, 펜틸렌글라이콜, 사과세포배양추출물, 산구절초추출물, 무화과추출물, 쑥잎추출물, 약모밀추출물, 영지버섯추출물, 고삼뿌리추출물, 석창포추출물, 피이지-40하이드로제네이티드캐스터오일, 스페인감초뿌리추출물, 마데카소사이드, 아스퍼질러스발효물, 피피지-26-부테스-26, 카프릴릴글라이콜, 데실글루코사이드, 하이드록시아세토페논, 토코페롤, 호장근뿌리추출물, 카퍼트라이펩타이드-1, 알라닌/히스티딘/라이신폴리펩타이드카퍼에이치씨엘, 마트리카리아꽃추출물, 로즈마리잎추출물, 제라니올, 리날룰, 시트로넬올","지성,건성,민감성,탈모"
2,2,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000180946&dispCatNo=1000001000400070003&trackingCd=Cat1000001000400070003_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EB%91%90%ED%94%BC%ED%8C%A9/%EC%8A%A4%EC%BC%80%EC%9D%BC%EB%9F%AC_%EC%86%8C_%EB%91%90%ED%94%BC%ED%8C%A9/%EC%8A%A4%EC%BC%80%EC%9D%BC%EB%9F%AC__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=3,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0018/A00000018094628ko.jpg?l=ko,리필드,[10월 올영픽/저자극] 리필드 사이토카인 탈모증상완화 헤어토닉 부스터 100ml 기획/단품 5종 택1,4.9,3842,"정제수, 변성알코올, 부틸렌글라이콜, 알로에베라잎추출물, 참마뿌리추출물, 다시마추출물, 당느릅나무뿌리추출물, 제비꽃꽃추출물, 글리세린, 엘-멘톨, 살리실릭애씨드, 덱스판테놀, 향료, 트로메타민, 알란토인, 레시틴, 1,2-헥산다이올, 다이포타슘글리시리제이트, 카프릴릭/카프릭트라이글리세라이드, 폴리솔베이트20, 자일리톨, 카프릴릴글라이콜, 니코티닉애씨드아데닌다이뉴클레오타이드포스페이트, 삼씨오일, 은행나무잎추출물, 프로폴리스추출물, 약모밀추출물, 밤부사 불가리스추출물, 편백잎추출물, 소나무잎추출물, 측백나무추출물, 레몬추출물, 글라이신, 필리핀오렌지전초오일, 세린, 글루타믹애씨드, 글루타티온, 생강오일, 아스파틱애씨드, 류신, 폴리글리세릴-4카프레이트, 알라닌, 라이신, 알지닌, 타이로신, 페닐알라닌, 프롤린, 트레오닌, 발린, 아이소류신, 히스티딘, 시스테인, 메티오닌, 사이클릭아데노신다이포스페이트리보오스, 나이아신아마이드, 바이오틴, 이노시톨, 소듐아스코빌포스페이트, 토코페롤, 리모넨, 리날룰","지성,건성,민감성,탈모"
3,3,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000183430&dispCatNo=1000001000400070003&trackingCd=Cat1000001000400070003_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EB%91%90%ED%94%BC%ED%8C%A9/%EC%8A%A4%EC%BC%80%EC%9D%BC%EB%9F%AC_%EC%86%8C_%EB%91%90%ED%94%BC%ED%8C%A9/%EC%8A%A4%EC%BC%80%EC%9D%BC%EB%9F%AC__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=4,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0018/A00000018343003ko.jpg?l=ko,바이브랩,바이브랩 리바이브 테라피 헤어 스칼프 인핸싱 폼,4.7,1004,"편백수(51.6%),에탄올,정제수,부틸렌글라이콜,1,2-헥산다이올,카페인,C12-14알케스-12,폴리글리세릴-4카프레이트,지황뿌리추출물,맥주효모추출물,메틸프로판다이올,엘-멘톨,살리실릭애씨드,알지닌,덱스판테놀,에틸헥실글리세린,로즈마리잎오일,알란토인,트레할로오스,캠퍼,클림바졸,글리세릴카프릴레이트,프로판다이올,구주소나무잎오일,대왕송오일,다이포타슘글리시리제이트,요엽후박나무껍질추출물,멕시칸주니퍼오일,다이소듐이디티에이,콘민트오일,살비아오일,폴리글리세릴-10라우레이트,바이오틴,글리세린,사과세포배양추출물,만니톨,산수유열매추출물,질경이택사덩이줄기추출물,검은뽕나무열매추출물,구기자추출물,비치스트로베리추출물,불가리스매자뿌리추출물,참마뿌리추출물,중국토복령추출물,모란뿌리추출물,하이드록시프로필사이클로덱스트린,칼메그추출물,동백나무꽃추출물,나이아신아마이드,감추출물,동백나무잎추출물,캐롭열매추출물,피이지-40하이드로제네이티드캐스터오일,카프릴릴글라이콜,암모늄글리시리제이트,피피지-26-부테스-26,칼슘판토테네이트,말토덱스트린,소듐스타치옥테닐석시네이트,미리스토일펜타펩타이드-17,소듐아스코빌포스페이트,참당귀뿌리추출물,녹차추출물,울금뿌리추출물,한련초추출물,하수오뿌리추출물,황금추출물,쓴풀추출물,측백나무잎추출물,잇꽃꽃추출물,당개나리열매추출물,은행나무잎추출물,검정콩추출물,감초뿌리추출물,인삼추출물,오미자추출물, 생강추출물,카퍼트라이펩타이드-1,알라닌/히스티딘/라이신폴리펩타이드카퍼에이치씨엘,토코페릴아세테이트,피리독신에이치씨엘,펜틸렌글라이콜,석창포추출물,쑥잎추출물,산구절초추출물,무화과추출물,영지버섯추출물,약모밀추출물,고삼뿌리추출물,부시클로버잎/줄기추출물,징크글루코네이트,피록톤올아민,스페인감초뿌리추출물,마데카소사이드,아스퍼질러스발효물,가시칠엽수씨추출물,병풀추출물,데실글루코사이드,하이드록시아세토페논,호장근뿌리추출물,실리카,편백잎추출물,마트리카리아꽃추출물,로즈마리잎추출물,대왕송잎추출물,당느릅나무뿌리추출물,달맞이꽃꽃추출물,칡뿌리추출물,마데카식애씨드,아시아티코사이드,아시아틱애씨드,리날룰,리모넨* 식품의약품안전처의 화장품 표시 관리법 개정으로 용매제와 추출물이 별도 표시 기재로 변경되었습니다.생산 시점에 따라 일부 제품간의 전성분 표기가 상이할 수 있으나 바이브랩 제품은 이전과 동일함을 안내 드립니다.","지성,건성,민감성,탈모"
4,4,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000141338&dispCatNo=1000001000400070003&trackingCd=Cat1000001000400070003_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EB%91%90%ED%94%BC%ED%8C%A9/%EC%8A%A4%EC%BC%80%EC%9D%BC%EB%9F%AC_%EC%86%8C_%EB%91%90%ED%94%BC%ED%8C%A9/%EC%8A%A4%EC%BC%80%EC%9D%BC%EB%9F%AC__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=5,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0014/A00000014133815ko.jpg?l=ko,닥터포헤어,[두피 스케일링] 닥터포헤어 폴리젠 씨솔트 스케일러 300g (탈모 기능성),4.7,7346,"소듐클로라이드, 정제수, 코코-베타인, 글리세린, 씨솔트 (50,000 ppm), 소듐코코일알라니네이트, 라우릴베타인, 코카마이드엠이에이, 소듐라우로일글루타메이트, 변성알코올, 포타슘코코에이트, 피피지-3카프릴릴에터, 트레할로오스, 카프릴릴글라이콜, 아이소프로필미리스테이트, 멘톨, 트라이하이드록시스테아린, 폴리쿼터늄-10, 덱스판테놀, 살리실릭애씨드, 수크로오스스테아레이트, 트로메타민, 나이아신아마이드, 멘틸락테이트, 페퍼민트오일, 콘민트오일, 소듐벤조에이트, 카프릴릭/카프릭트라이글리세라이드, 티트리잎오일, 아르간커넬오일, 동백나무씨오일, 드럼스틱씨오일, 사발팜열매추출물, 편백잎추출물, 부틸렌글라이콜, 1,2-헥산다이올, 폴리솔베이트80, 레시틴, 세라마이드엔피, 페퍼민트잎추출물, 프리지어추출물, 베르가못잎추출물, 마트리카리아꽃추출물, 로즈마리잎추출물, 라벤더추출물, 카페인, 아데노신, 바이오틴, 스피어민트추출물, 애플민트잎추출물, 병풀추출물, 에틸헥실글리세린, 징크피리치온, 생강추출물, 소듐폴리나프탈렌설포네이트, 아시아틱애씨드, 아시아티코사이드, 마데카식애씨드, 마데카소사이드, 향료, 헥실신남알","지성,건성,민감성,탈모"
5,5,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=B000000200545&dispCatNo=1000001000400070003&trackingCd=Cat1000001000400070003_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EB%91%90%ED%94%BC%ED%8C%A9/%EC%8A%A4%EC%BC%80%EC%9D%BC%EB%9F%AC_%EC%86%8C_%EB%91%90%ED%94%BC%ED%8C%A9/%EC%8A%A4%EC%BC%80%EC%9D%BC%EB%9F%AC__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=6,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0020/B00000020054501ko.jpg?l=ko,아닐로,아닐로 라임썬데이 리프레시 샴푸&비니거 세트,5.0,3,"[라임썬데이 리프레시 샴푸] 정제수, 만다린추출물, 소듐C14-16올레핀설포네이트, 글리세린, 코카미도프로필하이드록시설테인, 아크릴레이트코폴리머, 부틸렌글라이콜, 1,2-헥산다이올, 향료, 멘톨, 트로메타민, C12-14알케스-12, 소듐클로라이드, 황련뿌리추출물, 스위트아몬드껍질가루, 카프릴릴글라이콜, 에틸헥실글리세린, 다이소듐이디티에이, 폴리쿼터늄-10, 오렌지껍질오일, 광곽향오일, 인도멀구슬나무잎추출물, 레몬껍질오일, 시트릭애씨드, 인도멀구슬나무꽃추출물, 판테놀, 티트리잎추출물, 사과추출물, 유칼립투스잎추출물, 콘민트추출물, 알로에베라잎추출물, 레몬그라스추출물, 녹차추출물, 약모밀추출물, 연꽃꽃추출물, 쌀추출물, 매실추출물, 로우스위트블루베리추출물, 라임추출물(10 ppm), 프로필렌글라이콜라우레이트, 소듐시트레이트, 에리스리톨, 페퍼민트잎추출물, 애플민트잎추출물, 스피어민트잎추출물, 리모넨, 리날룰 [라임썬데이 리프레시 헤어 비니거] 정제수, 만다린추출물, 변성알코올, 글리세레스-26, 프로판다이올, C12-14알케스-12, 글리세린, 향료, 세트리모늄클로라이드, 부틸렌글라이콜, 소듐벤조에이트, 1,2-헥산다이올, 비니거, 멘톨, 황련뿌리추출물, 에틸헥실글리세린, 캐모마일꽃추출물, 포트마리골드꽃추출물, 히비스커스꽃추출물, 라벤더꽃추출물, 콘민트잎추출물, 로즈마리꽃추출물, 살비아잎추출물, 오렌지껍질오일, 소듐시트레이트, 다이소듐이디티에이, 광곽향오일, 레몬껍질오일, 시트릭애씨드, 인도멀구슬나무잎추출물, 인도멀구슬나무꽃추출물, 카프릴릴글라이콜, 라임추출물 (10 ppm), 트로메타민, 티트리잎추출물, 사과추출물, 유칼립투스잎추출물, 콘민트추출물, 알로에베라잎추출물, 레몬그라스추출물, 녹차추출물, 약모밀추출물, 연꽃꽃추출물, 쌀추출물, 매실추출물, 로우스위트블루베리추출물, 에리스리톨, 페퍼민트잎추출물, 애플민트잎추출물, 스피어민트잎추출물, 리모넨, 리날룰","지성,건성,민감성,탈모"
6,6,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000201059&dispCatNo=1000001000400070003&trackingCd=Cat1000001000400070003_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EB%91%90%ED%94%BC%ED%8C%A9/%EC%8A%A4%EC%BC%80%EC%9D%BC%EB%9F%AC_%EC%86%8C_%EB%91%90%ED%94%BC%ED%8C%A9/%EC%8A%A4%EC%BC%80%EC%9D%BC%EB%9F%AC__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=7,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0020/A00000020105907ko.jpg?l=ko,닥터지,[두피겸용/수분영양]닥터지 두피랩 쿨 솔트 스칼프 트리트먼트 300g,4.8,90,"정제수, 세테아릴알코올, 솔비톨, 브라시카미도프로필다이메틸아민, 아이소아밀라우레이트, C13-16아이소알케인, 향료, 해수*, 아스파틱애씨드, 글리세릴카프릴레이트, 헵틸운데실레네이트, 쿼터늄-87, 카프릴릴글라이콜, 덱스판테놀, 살리실릭애씨드, 프로필렌글라이콜, 나이아신아마이드, 소듐클로라이드*, 부틸렌글라이콜, 소듐파이테이트, 1,2-헥산다이올, 점토추출물*, 납작파래추출물*, 하이드롤라이즈드옥수수단백질, 하이드롤라이즈드코튼씨드단백질, 하이드롤라이즈드귀리단백질, 하이드롤라이즈드완두콩단백질, 하이드롤라이즈드감자단백질, 하이드롤라이즈드쌀겨단백질, 하이드롤라이즈드쌀단백질, 퉁퉁마디추출물, 스피룰리나 플라텐시스추출물*, 아르간커넬오일, 동백나무씨오일, 병풀추출물, 아보카도오일, 드럼스틱씨오일, 마카다미아씨오일, 말토덱스트린, 식물성오일, 타라열매추출물, 멘톨, 해바라기싹추출물, 폴리쿼터늄-22, 토코페롤, 병풀오일, 글라이코프로테인, 하이드롤라이즈드케라틴, 마데카소사이드","지성,민감성,탈모"
7,7,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000208666&dispCatNo=1000001000400070003&trackingCd=Cat1000001000400070003_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EB%91%90%ED%94%BC%ED%8C%A9/%EC%8A%A4%EC%BC%80%EC%9D%BC%EB%9F%AC_%EC%86%8C_%EB%91%90%ED%94%BC%ED%8C%A9/%EC%8A%A4%EC%BC%80%EC%9D%BC%EB%9F%AC__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=8,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0020/A00000020866607ko.jpg?l=ko,클로란,클로란 피오니 두피팩 150ml 2입 기획,4.7,2455,"정제수,펜틸렌글라이콜,하이드록시프로필스타치포스페이트,베타인,글리세린,베헨아미도프로필다이메틸아민프로필렌글라이콜,작약뿌리추출물,향료,락틱애씨드,스클레로튬검,트라이소듐에틸렌다이아민다이석시네이트","건성,민감성"
8,8,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000180820&dispCatNo=1000001000400070003&trackingCd=Cat1000001000400070003_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EB%91%90%ED%94%BC%ED%8C%A9/%EC%8A%A4%EC%BC%80%EC%9D%BC%EB%9F%AC_%EC%86%8C_%EB%91%90%ED%94%BC%ED%8C%A9/%EC%8A%A4%EC%BC%80%EC%9D%BC%EB%9F%AC__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=9,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0018/A00000018082008ko.jpg?l=ko,하아르,[3종임상] 하아르 닥터모리엔 탈모토닉 100ml,4.7,242,"정제수, 변성알코올, 엘-멘톨, 살리실릭애씨드, 덱스판테놀, 다이포타슘글리시리제이트, 알란토인, 소듐시트레이트, 시트릭애씨드, 1,2-헥산다이올, 카프릴릴글라이콜, 부틸렌글라이콜, 카퍼트라이펩타이드-1, 아세틸헥사펩타이드-8, 팔미토일펜타펩타이드-4, 팔미토일트라이펩타이드-1, 팔미토일테트라펩타이드-7, 효모/왕벚나무껍질추출물발효여과물, 당개나리열매추출물, 울금뿌리추출물, 동백나무잎추출물, 캐롭열매추출물, 감추출물, 맥주효모추출물, 효모추출물, 보리추출물, 비피다발효용해물, 락토바실러스발효여과물, 프로폴리스추출물, 에틸헥실글리세린, 지황뿌리추출물, 산수유열매추출물, 질경이택사덩이줄기추출물, 모란뿌리추출물, 중국토복령추출물, 참마뿌리추출물, 하이드롤라이즈드금사연둥지추출물, 하이드롤라이즈드케라틴, 하이드롤라이즈드콜라겐, 하이드롤라이즈드실크, 하이드롤라이즈드엘라스틴, 하이드롤라이즈드콩단백질, 하이드롤라이즈드옥수수단백질, 소듐피씨에이, 소듐락테이트, 알지닌, 아스파틱애씨드, 피씨에이, 글라이신, 알라닌, 세린, 발린, 프롤린, 트레오닌, 아이소류신, 히스티딘, 페닐알라닌, 피이지-60하이드로제네이티드캐스터오일, 폴리솔베이트20, 향료, 코코다이모늄하이드록시프로필하이드롤라이즈드밀단백질, 다이소듐이디티에이","지성,건성,민감성,탈모"
9,9,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000205782&dispCatNo=1000001000400070003&trackingCd=Cat1000001000400070003_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EB%91%90%ED%94%BC%ED%8C%A9/%EC%8A%A4%EC%BC%80%EC%9D%BC%EB%9F%AC_%EC%86%8C_%EB%91%90%ED%94%BC%ED%8C%A9/%EC%8A%A4%EC%BC%80%EC%9D%BC%EB%9F%AC__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=10,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0020/A00000020578203ko.jpg?l=ko,로레알,로레알파리 토탈리페어5 트리트먼트 헤어팩 700ml,4.8,21602,"정제수 세테아릴알코올 베헨트라이모늄클로라이드 글리세린 아모다이메티콘 세틸에스터 변성감자전분 아이소프로필알코올 황색4호 황색5호 쿼터늄-33 하이드록시프로필트리모늄하이드롤라이즈드밀단백질 소듐하이드록사이드 페녹시에탄올 알지닌 베헨트라이모늄메토설페이트 트라이데세스-6 클로헥시딘다이글루코네이트 벤질살리실레이트 벤질알코올 리날룰 2-올레아미도-1,3-옥타데칸다이올 세린 세트리모늄클로라이드 시트로넬올 세틸알코올 글루타믹애씨드 헥실신나몰 글리세릴리놀리에이트 글리세릴올리에이트 글리세릴리놀리네이트 향료",건성
10,10,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000183433&dispCatNo=1000001000400070003&trackingCd=Cat1000001000400070003_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EB%91%90%ED%94%BC%ED%8C%A9/%EC%8A%A4%EC%BC%80%EC%9D%BC%EB%9F%AC_%EC%86%8C_%EB%91%90%ED%94%BC%ED%8C%A9/%EC%8A%A4%EC%BC%80%EC%9D%BC%EB%9F%AC__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=11,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0018/A00000018343302ko.jpg?l=ko,바이브랩,바이브랩 리바이브 테라피 헤어 브로우 래쉬 세럼 (헤어라인 겸용),4.7,790,"정제수, 글리세린, 부틸렌글라이콜, 1,2-헥산다이올, 트로메타민, 카보머, 프로판다이올, 다이소듐이디티에이, 피이지-40하이드로제네이티드캐스터오일, 사과세포배양추출물, 피피지-26-부테스-26, 지황뿌리추출물, 판테놀, 카프릴릴글라이콜, 구기자추출물, 비치스트로베리추출물, 불가리스매자뿌리추출물, 검은뽕나무열매추출물, 산수유열매추출물, 질경이택사덩이줄기추출물, 에틸헥실글리세린, 모란뿌리추출물, 참마뿌리추출물, 중국토복령추출물, 미리스토일펜타펩타이드-4, 알라닌/히스티딘/라이신폴리펩타이드카퍼에이치씨엘, 하이드록시아세토페논, 동백나무꽃추출물, 칼메그추출물, 카퍼트라이펩타이드-1, 요엽후박나무껍질추출물, 바이오틴, 펜틸렌글라이콜, 레스페데자 카피타타잎/줄기추출물, 스페인감초뿌리추출물, 마데카소사이드, 하이드록시프로필사이클로덱스트린, 병풀추출물, 데실글루코사이드, 감추출물, 동백나무잎추출물, 캐롭열매추출물, 녹차추출물, 황금추출물, 쓴풀추출물, 하수오뿌리추출물, 한련초추출물, 호장근뿌리추출물, 참당귀뿌리추출물, 울금뿌리추출물, 측백나무잎추출물, 생강추출물, 당개나리열매추출물, 오미자추출물, 은행나무잎추출물, 인삼추출물, 잇꽃꽃추출물, 감초뿌리추출물, 검정콩추출물, 산구절초추출물, 무화과추출물, 쑥잎추출물, 약모밀추출물, 영지버섯추출물, 고삼뿌리추출물, 석창포추출물, 마트리카리아꽃추출물, 로즈마리잎추출물, 아스퍼질러스발효물","건성,민감성,탈모"
11,11,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000102316&dispCatNo=1000001000400070003&trackingCd=Cat1000001000400070003_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EB%91%90%ED%94%BC%ED%8C%A9/%EC%8A%A4%EC%BC%80%EC%9D%BC%EB%9F%AC_%EC%86%8C_%EB%91%90%ED%94%BC%ED%8C%A9/%EC%8A%A4%EC%BC%80%EC%9D%BC%EB%9F%AC__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=12,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0010/A00000010231606ko.jpg?l=ko,다슈,[변우석 Pick]다슈 안티헤어로스 픽서미스트 120ml (탈모증상완화),4.4,116,"정제수, 변성알코올, 브이피/브이에이코폴리머, 프로필렌글라이콜, 콘민트잎추출물, 향료, 멘톨, 살리실릭애씨드, 부틸렌글라이콜, 판테놀, 산구절초추출물, 알란토인, 스페인감초뿌리추출물, 페녹시에탄올, 다이소듐이디티에이, 석창포뿌리/줄기추출물, 서양측백나무잎추출물, 구기자추출물, 인삼추출물, 뽕나무뿌리추출물, 도꼬마리열매추출물, 바이오틴, 아미노메틸프로판올, 1,2-헥산다이올, 녹차추출물, 돌콩추출물, 에틸헥실글리세린, 시트로넬올, 리모넨, 하이드록시시트로넬알, 리날룰","지성,건성,민감성,탈모"
12,12,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000102560&dispCatNo=1000001000400070003&trackingCd=Cat1000001000400070003_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EB%91%90%ED%94%BC%ED%8C%A9/%EC%8A%A4%EC%BC%80%EC%9D%BC%EB%9F%AC_%EC%86%8C_%EB%91%90%ED%94%BC%ED%8C%A9/%EC%8A%A4%EC%BC%80%EC%9D%BC%EB%9F%AC__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=13,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0010/A00000010256009ko.jpg?l=ko,다슈,[변우석 Pick]다슈 안티헤어로스 허브 헤어토닉 150ml (탈모증상완화도움 기능성),4.7,636,"정제수, 변성알코올, 부틸렌글라이콜, 인삼추출물, 서양측백나무잎추출물, 상백피추출물, 구절초추출물, 구기자추출물, 석창포뿌리/줄기추출물, 창이자추출물, ​감초추출물, 박하추출물, 어성초추출물, 녹차추출물, 자소엽추출물, 엘-멘톨, 트로메타민, 살리실산, D-판테놀, DL-피롤리돈카르복실산나트륨액, 하이드록시프로필트리모늄하이드롤라이즈드케라틴, 고삼추출물, 작약추출물, 로즈마리추출물, 비오틴, 하이드롤라이즈드케라틴, 하이드롤라이즈드실크, 하이드롤라이즈드밀단백질, 페녹시에탄올","탈모,비듬,민감성,지루성"
