,Unnamed: 0,page,product_link,img_link,brand_name,product_name,star,review_count,ingredient,type
0,0,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000210835&dispCatNo=1000001000400130004&trackingCd=Cat1000001000400130004_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%97%A4%EC%96%B4%ED%86%A0%EB%8B%89/%EB%91%90%ED%94%BC%ED%86%A0%EB%8B%89_%EC%86%8C_%ED%97%A4%EC%96%B4%ED%86%A0%EB%8B%89/%EB%91%90%ED%94%BC%ED%86%A0%EB%8B%89__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=1,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0021/A00000021083506ko.jpg?l=ko,아로마티카,[10월올영픽/1+1]아로마티카 로즈마리 루트 인핸서 100ml 더블기획(+30ml 추가 증정),4.8,3276,"에탄올, 로즈마리잎추출물, 소나무잎추출물, 정제수, 로즈마리잎오일, 생강추출물, 비피다발효용해물, 락토바실러스발효용해물, 카페인, 판테놀, 바이오틴, 티아민에이치씨엘, 피리독신에이치씨엘, 아스코빅애씨드, 메나다이온, 리보플라빈, 흑미추출물, 검정콩추출물, 검은깨추출물, 가지열매추출물, 뽕나무열매추출물, 후추씨추출물, 살리실릭애씨드, 라벤더오일, 멘톨, 글리세린, 에틸헥실글리세린, 오렌지껍질오일, 스피어민트잎오일, 인도멀구슬나무잎추출물, 인도멀구슬나무꽃추출물, *제라니올, *리모넨, *리날룰, 1,2-헥산다이올, 벤질글라이콜*에센셜오일에서 자연적으로 발견되는 성분","지성,건성,민감성,탈모"
1,1,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000183432&dispCatNo=1000001000400130004&trackingCd=Cat1000001000400130004_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%97%A4%EC%96%B4%ED%86%A0%EB%8B%89/%EB%91%90%ED%94%BC%ED%86%A0%EB%8B%89_%EC%86%8C_%ED%97%A4%EC%96%B4%ED%86%A0%EB%8B%89/%EB%91%90%ED%94%BC%ED%86%A0%EB%8B%89__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=2,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0018/A00000018343203ko.jpg?l=ko,바이브랩,바이브랩 리바이브 테라피 헤어 스칼프 앤 브로우 앰플,4.7,2270,"정제수, 에탄올, 부틸렌글라이콜, 메틸프로판다이올, 글리세린, 1,2-헥산다이올, 피피지-13-데실테트라데세스-24, 트로메타민, 엘-멘톨, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 살리실릭애씨드, 덱스판테놀, 프로판다이올, 녹차추출물, 병풀추출물, 센티드제라늄꽃오일, 다이소듐이디티에이, 지황뿌리추출물, 구기자추출물, 비치스트로베리추출물, 불가리스매자뿌리추출물, 검은뽕나무열매추출물, 산수유열매추출물, 질경이택사덩이줄기추출물, 감추출물, 동백나무잎추출물, 캐롭열매추출물, 에틸헥실글리세린, 모란뿌리추출물, 참마뿌리추출물, 미리스토일펜타펩타이드-4, 중국토복령추출물, 페녹시에탄올, 하이드록시프로필사이클로덱스트린, 동백나무꽃추출물, 칼메그추출물, 레스페데자 카피타타잎/줄기추출물, 요엽후박나무껍질추출물, 황금추출물, 쓴풀추출물, 하수오뿌리추출물, 한련초추출물, 참당귀뿌리추출물, 울금뿌리추출물, 측백나무잎추출물, 생강추출물, 당개나리열매추출물, 오미자추출물, 은행나무잎추출물, 인삼추출물, 잇꽃꽃추출물, 감초뿌리추출물, 검정콩추출물, 펜틸렌글라이콜, 사과세포배양추출물, 산구절초추출물, 무화과추출물, 쑥잎추출물, 약모밀추출물, 영지버섯추출물, 고삼뿌리추출물, 석창포추출물, 피이지-40하이드로제네이티드캐스터오일, 스페인감초뿌리추출물, 마데카소사이드, 아스퍼질러스발효물, 피피지-26-부테스-26, 카프릴릴글라이콜, 데실글루코사이드, 하이드록시아세토페논, 토코페롤, 호장근뿌리추출물, 카퍼트라이펩타이드-1, 알라닌/히스티딘/라이신폴리펩타이드카퍼에이치씨엘, 마트리카리아꽃추출물, 로즈마리잎추출물, 제라니올, 리날룰, 시트로넬올","지성,건성,민감성,탈모"
2,2,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000185844&dispCatNo=1000001000400130004&trackingCd=Cat1000001000400130004_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%97%A4%EC%96%B4%ED%86%A0%EB%8B%89/%EB%91%90%ED%94%BC%ED%86%A0%EB%8B%89_%EC%86%8C_%ED%97%A4%EC%96%B4%ED%86%A0%EB%8B%89/%EB%91%90%ED%94%BC%ED%86%A0%EB%8B%89__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=3,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0018/A00000018584420ko.jpg?l=ko,하아르,[10월 올영픽/단독기획] 하아르 닥터모리엔 탈모토닉 100ml 기획 (+샴푸 75ml 증정),4.8,1441,"[탈모토닉]정제수, 변성알코올, 엘-멘톨, 살리실릭애씨드, 덱스판테놀, 다이포타슘글리시리제이트, 알란토인, 소듐시트레이트, 시트릭애씨드, 1,2-헥산다이올, 카프릴릴글라이콜, 부틸렌글라이콜, 카퍼트라이펩타이드-1, 아세틸헥사펩타이드-8, 팔미토일펜타펩타이드-4, 팔미토일트라이펩타이드-1, 팔미토일테트라펩타이드-7, 효모/왕벚나무껍질추출물발효여과물, 당개나리열매추출물, 울금뿌리추출물, 동백나무잎추출물, 캐롭열매추출물, 감추출물, 맥주효모추출물, 효모추출물, 보리추출물, 비피다발효용해물, 락토바실러스발효여과물, 프로폴리스추출물, 에틸헥실글리세린, 지황뿌리추출물, 산수유열매추출물, 질경이택사덩이줄기추출물, 모란뿌리추출물, 중국토복령추출물, 참마뿌리추출물, 하이드롤라이즈드금사연둥지추출물, 하이드롤라이즈드케라틴, 하이드롤라이즈드콜라겐, 하이드롤라이즈드실크, 하이드롤라이즈드엘라스틴, 하이드롤라이즈드콩단백질, 하이드롤라이즈드옥수수단백질, 소듐피씨에이, 소듐락테이트, 알지닌, 아스파틱애씨드, 피씨에이, 글라이신, 알라닌, 세린, 발린, 프롤린, 트레오닌, 아이소류신, 히스티딘, 페닐알라닌, 피이지-60하이드로제네이티드캐스터오일, 폴리솔베이트20, 향료, 코코다이모늄하이드록시프로필하이드롤라이즈드밀단백질, 다이소듐이디티에이[샴푸]정제수, 다이소듐라우레스설포석시네이트, 라우릴베타인, 코카마이드미파, 글리세린, 에탄올, 코코-클루코사이드, 향료, 난황추출물(5,000ppm), 하이드롤라이즈드난각막, 하이드롤라이즈드콩단백질, 하이드롤라이즈드콜라겐, 하이드롤라이즈드케라틴, 하이드롤라이즈드엘라스틴, 하이드롤라이즈드실크, 검정콩추출물, 검은깨추출물, 흑미추출물, 판테놀, 멘톨, 살리실식애씨드, 아라비아고무나무검, 토탄수, 하이드록시프로필메틸셀룰로오스, 포타슘솔베이트, 카프릴릴글라이콜, 폴리쿼터늄-7, 부틸렌글라이콜, 1,2-헥산다이올, 소듐클로라이드, 폴리쿼터늄-10, 시트릭애씨드, 다이소듐이디티에이","비듬,지성,건성,민감성,탈모"
3,3,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000180613&dispCatNo=1000001000400130004&trackingCd=Cat1000001000400130004_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%97%A4%EC%96%B4%ED%86%A0%EB%8B%89/%EB%91%90%ED%94%BC%ED%86%A0%EB%8B%89_%EC%86%8C_%ED%97%A4%EC%96%B4%ED%86%A0%EB%8B%89/%EB%91%90%ED%94%BC%ED%86%A0%EB%8B%89__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=4,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0018/A00000018061334ko.jpg?l=ko,달리프,[1등헤어토닉] 달리프 클로렐라 탈모증상완화 헤어토닉 더블기획(100ml+100ml),4.7,13198,"정제수, 변성알코올, 클로렐라불가리스추출물(1,000 ppm), 부틸렌글라이콜, 글리세린, 1,2-헥산다이올,엘-멘톨, 살리실산, 덱스판테놀, 피씨에이, 트로메타민, 라벤더추출물, 베르가못잎추출물, 페퍼민트잎추출물, 프리지어추출물, 마트리카리아꽃추출물, 로즈마리잎추출물,에틸헥실글리세린, 하이드롤라이즈드케라틴, 하이드롤라이즈드실크, 하이드롤라이즈드콜라겐, 납작파래추출물, 개청각추출물, 자이언트켈프추출물, 다시마추출물, 겔리듐 카르틸라기네움추출물, 포르피리듐크루엔툼추출물, 알지닌, 향료","비듬,건성,지루성,민감성,탈모"
4,4,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000189266&dispCatNo=1000001000400130004&trackingCd=Cat1000001000400130004_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%97%A4%EC%96%B4%ED%86%A0%EB%8B%89/%EB%91%90%ED%94%BC%ED%86%A0%EB%8B%89_%EC%86%8C_%ED%97%A4%EC%96%B4%ED%86%A0%EB%8B%89/%EB%91%90%ED%94%BC%ED%86%A0%EB%8B%89__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=5,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0018/A00000018926610ko.jpg?l=ko,라보에이치,라보에이치 두피강화 앰플토닉 탈모증상완화 100ML(두피집중영양),4.7,1666,"정제수, 변성알코올, 녹차추출물, 피이지-60하이드로제네이티드캐스터오일, 카프릴릴글라이콜, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 멘톨, 덱스트린, 프로판다이올, 아미노메틸프로판올, 다이소듐이디티에이, 에틸헥실글리세린, 페퍼민트오일, 스타아니스열매/씨오일, 로즈마리잎오일, 연필향나무오일, 락토바실러스발효용해물, 콘민트오일, 효모/보리씨발효여과물, 검정콩추출물, 에탄올, 부틸렌글라이콜, 유칼립투스잎오일, 바질오일, 1,2-헥산다이올, 생강추출물, 바이오틴, 캐모마일꽃오일, 소듐하이알루로네이트, 향기제비꽃잎추출물, 토코페롤, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 호프추출물, 하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트",건성
5,5,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000180946&dispCatNo=1000001000400130004&trackingCd=Cat1000001000400130004_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%97%A4%EC%96%B4%ED%86%A0%EB%8B%89/%EB%91%90%ED%94%BC%ED%86%A0%EB%8B%89_%EC%86%8C_%ED%97%A4%EC%96%B4%ED%86%A0%EB%8B%89/%EB%91%90%ED%94%BC%ED%86%A0%EB%8B%89__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=6,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0018/A00000018094628ko.jpg?l=ko,리필드,[10월 올영픽/저자극] 리필드 사이토카인 탈모증상완화 헤어토닉 부스터 100ml 기획/단품 5종 택1,4.9,3842,"정제수, 변성알코올, 부틸렌글라이콜, 알로에베라잎추출물, 참마뿌리추출물, 다시마추출물, 당느릅나무뿌리추출물, 제비꽃꽃추출물, 글리세린, 엘-멘톨, 살리실릭애씨드, 덱스판테놀, 향료, 트로메타민, 알란토인, 레시틴, 1,2-헥산다이올, 다이포타슘글리시리제이트, 카프릴릭/카프릭트라이글리세라이드, 폴리솔베이트20, 자일리톨, 카프릴릴글라이콜, 니코티닉애씨드아데닌다이뉴클레오타이드포스페이트, 삼씨오일, 은행나무잎추출물, 프로폴리스추출물, 약모밀추출물, 밤부사 불가리스추출물, 편백잎추출물, 소나무잎추출물, 측백나무추출물, 레몬추출물, 글라이신, 필리핀오렌지전초오일, 세린, 글루타믹애씨드, 글루타티온, 생강오일, 아스파틱애씨드, 류신, 폴리글리세릴-4카프레이트, 알라닌, 라이신, 알지닌, 타이로신, 페닐알라닌, 프롤린, 트레오닌, 발린, 아이소류신, 히스티딘, 시스테인, 메티오닌, 사이클릭아데노신다이포스페이트리보오스, 나이아신아마이드, 바이오틴, 이노시톨, 소듐아스코빌포스페이트, 토코페롤, 리모넨, 리날룰","지성,건성,민감성,탈모"
6,6,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000183430&dispCatNo=1000001000400130004&trackingCd=Cat1000001000400130004_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%97%A4%EC%96%B4%ED%86%A0%EB%8B%89/%EB%91%90%ED%94%BC%ED%86%A0%EB%8B%89_%EC%86%8C_%ED%97%A4%EC%96%B4%ED%86%A0%EB%8B%89/%EB%91%90%ED%94%BC%ED%86%A0%EB%8B%89__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=7,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0018/A00000018343003ko.jpg?l=ko,바이브랩,바이브랩 리바이브 테라피 헤어 스칼프 인핸싱 폼,4.7,1004,"편백수(51.6%),에탄올,정제수,부틸렌글라이콜,1,2-헥산다이올,카페인,C12-14알케스-12,폴리글리세릴-4카프레이트,지황뿌리추출물,맥주효모추출물,메틸프로판다이올,엘-멘톨,살리실릭애씨드,알지닌,덱스판테놀,에틸헥실글리세린,로즈마리잎오일,알란토인,트레할로오스,캠퍼,클림바졸,글리세릴카프릴레이트,프로판다이올,구주소나무잎오일,대왕송오일,다이포타슘글리시리제이트,요엽후박나무껍질추출물,멕시칸주니퍼오일,다이소듐이디티에이,콘민트오일,살비아오일,폴리글리세릴-10라우레이트,바이오틴,글리세린,사과세포배양추출물,만니톨,산수유열매추출물,질경이택사덩이줄기추출물,검은뽕나무열매추출물,구기자추출물,비치스트로베리추출물,불가리스매자뿌리추출물,참마뿌리추출물,중국토복령추출물,모란뿌리추출물,하이드록시프로필사이클로덱스트린,칼메그추출물,동백나무꽃추출물,나이아신아마이드,감추출물,동백나무잎추출물,캐롭열매추출물,피이지-40하이드로제네이티드캐스터오일,카프릴릴글라이콜,암모늄글리시리제이트,피피지-26-부테스-26,칼슘판토테네이트,말토덱스트린,소듐스타치옥테닐석시네이트,미리스토일펜타펩타이드-17,소듐아스코빌포스페이트,참당귀뿌리추출물,녹차추출물,울금뿌리추출물,한련초추출물,하수오뿌리추출물,황금추출물,쓴풀추출물,측백나무잎추출물,잇꽃꽃추출물,당개나리열매추출물,은행나무잎추출물,검정콩추출물,감초뿌리추출물,인삼추출물,오미자추출물, 생강추출물,카퍼트라이펩타이드-1,알라닌/히스티딘/라이신폴리펩타이드카퍼에이치씨엘,토코페릴아세테이트,피리독신에이치씨엘,펜틸렌글라이콜,석창포추출물,쑥잎추출물,산구절초추출물,무화과추출물,영지버섯추출물,약모밀추출물,고삼뿌리추출물,부시클로버잎/줄기추출물,징크글루코네이트,피록톤올아민,스페인감초뿌리추출물,마데카소사이드,아스퍼질러스발효물,가시칠엽수씨추출물,병풀추출물,데실글루코사이드,하이드록시아세토페논,호장근뿌리추출물,실리카,편백잎추출물,마트리카리아꽃추출물,로즈마리잎추출물,대왕송잎추출물,당느릅나무뿌리추출물,달맞이꽃꽃추출물,칡뿌리추출물,마데카식애씨드,아시아티코사이드,아시아틱애씨드,리날룰,리모넨* 식품의약품안전처의 화장품 표시 관리법 개정으로 용매제와 추출물이 별도 표시 기재로 변경되었습니다.생산 시점에 따라 일부 제품간의 전성분 표기가 상이할 수 있으나 바이브랩 제품은 이전과 동일함을 안내 드립니다.","지성,건성,민감성,탈모"
7,7,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000212039&dispCatNo=1000001000400130004&trackingCd=Cat1000001000400130004_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%97%A4%EC%96%B4%ED%86%A0%EB%8B%89/%EB%91%90%ED%94%BC%ED%86%A0%EB%8B%89_%EC%86%8C_%ED%97%A4%EC%96%B4%ED%86%A0%EB%8B%89/%EB%91%90%ED%94%BC%ED%86%A0%EB%8B%89__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=8,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0021/A00000021203905ko.jpg?l=ko,씨퓨리,[NEW/더블기획] 씨퓨리 닥터33 탈모앰플 20ml+20ml,4.9,556,"정제수, 에탄올, 부틸렌글라이콜, 알란토인, 엘-멘톨, 살리실릭애씨드, 덱스판테놀, 하이드롤라이즈드케라틴, 다이포타슘글리시리제이트, 소듐시트레이트, 1,2-헥산다이올, 카프릴릴글라이콜, 하이드록시에틸셀룰로오스, 잔탄검, 검은콩추출물, 검은깨추출물, 흑미추출물, 콩싹추출물, 오렌지오일, 라벤더오일, 카멜그라스오일, 분비나무오일, 발삼아미리스껍질오일, 클레리 오일, 시트랄, 리모넨, 리날룰, 맥주효모추출물, 효모추출물, 보리추출물, 비피다발효용해물, 락토바실러스발효여과물, 프로폴리스추출물, 감추출물, 동백나무잎추출물, 캐롭열매추출물, 빙하수, 소듐피씨에이, 소듐락테이트, 알지닌, 아스파틱애씨드, 피씨에이, 글라이신, 알라닌, 세린, 발린, 프롤린, 트레오닌, 아이소류신, 히스티딘, 페닐알라닌, 폴리솔베이트20, 피이지-60하이드로제네이티드캐스터오일, 다이소듐이디티에이","지성,건성,민감성,탈모"
8,8,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000202414&dispCatNo=1000001000400130004&trackingCd=Cat1000001000400130004_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%97%A4%EC%96%B4%ED%86%A0%EB%8B%89/%EB%91%90%ED%94%BC%ED%86%A0%EB%8B%89_%EC%86%8C_%ED%97%A4%EC%96%B4%ED%86%A0%EB%8B%89/%EB%91%90%ED%94%BC%ED%86%A0%EB%8B%89__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=9,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0020/A00000020241409ko.jpg?l=ko,라보에이치,라보에이치 두피강화클리닉 헤어라인앰플 탈모증상완화 더블기획,4.7,871,"정제수, 변성알코올, 피이지-60하이드로제네이티드캐스터오일, 녹차추출물(카페인 함유), 카보머, 카프릴릴글라이콜, 트로메타민, 덱스트린, 프로판다이올, 멘톨, 페퍼민트오일, 시트릭애씨드, 다이소듐이디티에이, 피록톤올아민, 스타아니스열매/씨오일, 로즈마리잎오일, 연필향나무오일, 락토바실러스발효용해물, 부틸렌글라이콜, 콘민트오일, 효모/보리씨발효여과물, 검정콩추출물, 에탄올, 유칼립투스잎오일, 바질오일, 1,2-헥산다이올, 생강추출물, 바이오틴, 캐모마일꽃오일, 글리세린, 소듐하이알루로네이트, 향기제비꽃잎추출물, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 호프추출물, 하이알루로닉애씨드, 수용성콜라겐, 에틸헥실글리세린, 소듐아세틸레이티드하이알루로네이트","건성,탈모"
9,9,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000189143&dispCatNo=1000001000400130004&trackingCd=Cat1000001000400130004_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%97%A4%EC%96%B4%ED%86%A0%EB%8B%89/%EB%91%90%ED%94%BC%ED%86%A0%EB%8B%89_%EC%86%8C_%ED%97%A4%EC%96%B4%ED%86%A0%EB%8B%89/%EB%91%90%ED%94%BC%ED%86%A0%EB%8B%89__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=10,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0018/A00000018914308ko.jpg?l=ko,아로마티카,[10월올영픽/1+1] 아로마티카 티트리 퓨리파잉 토닉 100ml+100ml 더블 기획,4.8,4258,"에탄올, 정제수, 페퍼민트오일, 티트리잎오일(2,000ppm), 티트리잎추출물(26ppm), 박하추출물, 판테놀, 살리실릭애씨드, 비피다발효용해물, 락토바실러스발효용해물, 히솝추출물, 큰노랑꽃자리풀씨추출물, 멘톨, 우엉뿌리추출물, 레몬껍질오일, 유칼립투스잎오일, 아틀라스시다나무껍질오일, 카페인, 생강추출물, 생강오일, 글리세린, 티아민에이치씨엘, 피리독신에이치씨엘, 아스코빅애씨드, 바이오틴, 메나다이온, 리보플라빈, 1,2-헥산다이올, 벤질글라이콜, 에틸헥실글리세린, *리모넨, *시트랄, *리날룰, *에센셜오일에서 자연적으로 발견되는 성분","지성,건성,민감성,탈모"
10,10,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000211049&dispCatNo=1000001000400130004&trackingCd=Cat1000001000400130004_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%97%A4%EC%96%B4%ED%86%A0%EB%8B%89/%EB%91%90%ED%94%BC%ED%86%A0%EB%8B%89_%EC%86%8C_%ED%97%A4%EC%96%B4%ED%86%A0%EB%8B%89/%EB%91%90%ED%94%BC%ED%86%A0%EB%8B%89__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=11,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0021/A00000021104906ko.jpg?l=ko,달리프,[10월올영픽/1등헤어토닉]달리프 클로렐라 베러 루트 헤어 토닉 100ml 기획세트 (+우드괄사 증정) (탈모증상완화),4.8,1790,"정제수, 에탄올, 엘-멘톨, 살리실릭애씨드, 피이지-60하이드로제네이티드캐스터오일, 덱스판테놀, 부틸렌글라이콜, 피씨에이, 트로메타민, 클로렐라 불가리스추출물 (1,000 ppm), 글리세린, 1,2-헥산다이올, 알지닌, 자이언트켈프추출물, 다시마추출물, 납작파래추출물, 겔리듐 카르틸라기네움추출물, 개청각추출물, 프리지아추출물, 페퍼민트잎추출물, 베르가못잎추출물, 마트리카리아꽃추출물, 로즈마리잎추출물, 라벤더추출물, 포르피리듐 크루엔툼추출물, 에틸헥실글리세린, 하이드롤라이즈드옥수수단백질, 하이드롤라이즈드콩단백질, 하이드롤라이즈드밀단백질, 향료, 알파-아이소메틸아이오논, 벤질살리실레이트, 시트로넬올, 헥실신남알, 하이드록시시트로넬알, 리날룰, 부틸페닐메틸프로피오날","지성,건성,민감성,탈모"
11,11,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000180820&dispCatNo=1000001000400130004&trackingCd=Cat1000001000400130004_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%97%A4%EC%96%B4%ED%86%A0%EB%8B%89/%EB%91%90%ED%94%BC%ED%86%A0%EB%8B%89_%EC%86%8C_%ED%97%A4%EC%96%B4%ED%86%A0%EB%8B%89/%EB%91%90%ED%94%BC%ED%86%A0%EB%8B%89__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=12,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0018/A00000018082008ko.jpg?l=ko,하아르,[3종임상] 하아르 닥터모리엔 탈모토닉 100ml,4.7,242,"정제수, 변성알코올, 엘-멘톨, 살리실릭애씨드, 덱스판테놀, 다이포타슘글리시리제이트, 알란토인, 소듐시트레이트, 시트릭애씨드, 1,2-헥산다이올, 카프릴릴글라이콜, 부틸렌글라이콜, 카퍼트라이펩타이드-1, 아세틸헥사펩타이드-8, 팔미토일펜타펩타이드-4, 팔미토일트라이펩타이드-1, 팔미토일테트라펩타이드-7, 효모/왕벚나무껍질추출물발효여과물, 당개나리열매추출물, 울금뿌리추출물, 동백나무잎추출물, 캐롭열매추출물, 감추출물, 맥주효모추출물, 효모추출물, 보리추출물, 비피다발효용해물, 락토바실러스발효여과물, 프로폴리스추출물, 에틸헥실글리세린, 지황뿌리추출물, 산수유열매추출물, 질경이택사덩이줄기추출물, 모란뿌리추출물, 중국토복령추출물, 참마뿌리추출물, 하이드롤라이즈드금사연둥지추출물, 하이드롤라이즈드케라틴, 하이드롤라이즈드콜라겐, 하이드롤라이즈드실크, 하이드롤라이즈드엘라스틴, 하이드롤라이즈드콩단백질, 하이드롤라이즈드옥수수단백질, 소듐피씨에이, 소듐락테이트, 알지닌, 아스파틱애씨드, 피씨에이, 글라이신, 알라닌, 세린, 발린, 프롤린, 트레오닌, 아이소류신, 히스티딘, 페닐알라닌, 피이지-60하이드로제네이티드캐스터오일, 폴리솔베이트20, 향료, 코코다이모늄하이드록시프로필하이드롤라이즈드밀단백질, 다이소듐이디티에이","지성,건성,민감성,탈모"
12,12,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000197603&dispCatNo=1000001000400130004&trackingCd=Cat1000001000400130004_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%97%A4%EC%96%B4%ED%86%A0%EB%8B%89/%EB%91%90%ED%94%BC%ED%86%A0%EB%8B%89_%EC%86%8C_%ED%97%A4%EC%96%B4%ED%86%A0%EB%8B%89/%EB%91%90%ED%94%BC%ED%86%A0%EB%8B%89__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=13,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0019/A00000019760316ko.jpg?l=ko,려,[1+1] 려 루트젠 탈모증상케어 두피에센스 80ml 더블기획,4.8,1785,"정제수, 변성알코올, 실리카, 녹차추출물, 마트리카리아꽃수, 카보머, 트로메타민, 글리세린, 향료, 멘톨, 다이소듐이디티에이, 리모넨, 부틸렌글라이콜, 피록톤올아민, 프로판다이올, 인삼뿌리세포추출물, 1,2-헥산다이올, 에탄올, 동백나무씨오일, 녹차씨오일, 콩폴리펩타이드, 라벤더오일, 로즈마리잎오일, 베르가모트오일, 생강추출물, 동백나무꽃추출물, 인삼전초추출물, 다마스크장미꽃추출물, 병풀꽃/잎/줄기추출물, 에틸헥실글리세린, 검정콩오일, 검정콩추출물, 세라마이드엔피, 피토스핑고신, 하이드로제네이티드레시틴, 카놀라오일, 로즈마리잎추출물",건성
