,Unnamed: 0,page,product_link,img_link,brand_name,product_name,star,review_count,ingredient,type
0,0,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000180946&dispCatNo=1000001000400130001&trackingCd=Cat1000001000400130001_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%97%A4%EC%96%B4%EC%9B%8C%ED%84%B0_%EC%86%8C_%ED%97%A4%EC%96%B4%EC%9B%8C%ED%84%B0__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=1,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0018/A00000018094628ko.jpg?l=ko,리필드,[10월 올영픽/저자극] 리필드 사이토카인 탈모증상완화 헤어토닉 부스터 100ml 기획/단품 5종 택1,4.9,3826,"정제수, 변성알코올, 부틸렌글라이콜, 알로에베라잎추출물, 참마뿌리추출물, 다시마추출물, 당느릅나무뿌리추출물, 제비꽃꽃추출물, 글리세린, 엘-멘톨, 살리실릭애씨드, 덱스판테놀, 향료, 트로메타민, 알란토인, 레시틴, 1,2-헥산다이올, 다이포타슘글리시리제이트, 카프릴릭/카프릭트라이글리세라이드, 폴리솔베이트20, 자일리톨, 카프릴릴글라이콜, 니코티닉애씨드아데닌다이뉴클레오타이드포스페이트, 삼씨오일, 은행나무잎추출물, 프로폴리스추출물, 약모밀추출물, 밤부사 불가리스추출물, 편백잎추출물, 소나무잎추출물, 측백나무추출물, 레몬추출물, 글라이신, 필리핀오렌지전초오일, 세린, 글루타믹애씨드, 글루타티온, 생강오일, 아스파틱애씨드, 류신, 폴리글리세릴-4카프레이트, 알라닌, 라이신, 알지닌, 타이로신, 페닐알라닌, 프롤린, 트레오닌, 발린, 아이소류신, 히스티딘, 시스테인, 메티오닌, 사이클릭아데노신다이포스페이트리보오스, 나이아신아마이드, 바이오틴, 이노시톨, 소듐아스코빌포스페이트, 토코페롤, 리모넨, 리날룰","지성,건성,민감성,탈모"
1,1,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000183432&dispCatNo=1000001000400130001&trackingCd=Cat1000001000400130001_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%97%A4%EC%96%B4%EC%9B%8C%ED%84%B0_%EC%86%8C_%ED%97%A4%EC%96%B4%EC%9B%8C%ED%84%B0__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=2,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0018/A00000018343203ko.jpg?l=ko,바이브랩,바이브랩 리바이브 테라피 헤어 스칼프 앤 브로우 앰플,4.7,2270,"정제수, 에탄올, 부틸렌글라이콜, 메틸프로판다이올, 글리세린, 1,2-헥산다이올, 피피지-13-데실테트라데세스-24, 트로메타민, 엘-멘톨, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 살리실릭애씨드, 덱스판테놀, 프로판다이올, 녹차추출물, 병풀추출물, 센티드제라늄꽃오일, 다이소듐이디티에이, 지황뿌리추출물, 구기자추출물, 비치스트로베리추출물, 불가리스매자뿌리추출물, 검은뽕나무열매추출물, 산수유열매추출물, 질경이택사덩이줄기추출물, 감추출물, 동백나무잎추출물, 캐롭열매추출물, 에틸헥실글리세린, 모란뿌리추출물, 참마뿌리추출물, 미리스토일펜타펩타이드-4, 중국토복령추출물, 페녹시에탄올, 하이드록시프로필사이클로덱스트린, 동백나무꽃추출물, 칼메그추출물, 레스페데자 카피타타잎/줄기추출물, 요엽후박나무껍질추출물, 황금추출물, 쓴풀추출물, 하수오뿌리추출물, 한련초추출물, 참당귀뿌리추출물, 울금뿌리추출물, 측백나무잎추출물, 생강추출물, 당개나리열매추출물, 오미자추출물, 은행나무잎추출물, 인삼추출물, 잇꽃꽃추출물, 감초뿌리추출물, 검정콩추출물, 펜틸렌글라이콜, 사과세포배양추출물, 산구절초추출물, 무화과추출물, 쑥잎추출물, 약모밀추출물, 영지버섯추출물, 고삼뿌리추출물, 석창포추출물, 피이지-40하이드로제네이티드캐스터오일, 스페인감초뿌리추출물, 마데카소사이드, 아스퍼질러스발효물, 피피지-26-부테스-26, 카프릴릴글라이콜, 데실글루코사이드, 하이드록시아세토페논, 토코페롤, 호장근뿌리추출물, 카퍼트라이펩타이드-1, 알라닌/히스티딘/라이신폴리펩타이드카퍼에이치씨엘, 마트리카리아꽃추출물, 로즈마리잎추출물, 제라니올, 리날룰, 시트로넬올","지성,건성,민감성,탈모"
2,2,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000177588&dispCatNo=1000001000400130001&trackingCd=Cat1000001000400130001_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%97%A4%EC%96%B4%EC%9B%8C%ED%84%B0_%EC%86%8C_%ED%97%A4%EC%96%B4%EC%9B%8C%ED%84%B0__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=3,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0017/A00000017758810ko.jpg?l=ko,실크테라피,[한정기획] 실크테라피 에센스 145KIT(130+15) 3종 택1 (손상/극손상용),4.8,1967,"사이클로펜타실록세인, 다이메티콘올, 변성알코올, 하이드롤라이즈드실크에틸에스터(5,000 ppm), C12-15알킬벤조에이트, 판테놀, 향료, 알파-아이소메틸아이오논, 벤질벤조에이트, 부틸페닐메틸프로피오날, 시트로넬올, 유제놀, 제라니올, 헥실신남알, 하이드록시시트로넬알, 리날룰","민감성,탈모"
3,3,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000210303&dispCatNo=1000001000400130001&trackingCd=Cat1000001000400130001_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%97%A4%EC%96%B4%EC%9B%8C%ED%84%B0_%EC%86%8C_%ED%97%A4%EC%96%B4%EC%9B%8C%ED%84%B0__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=4,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0021/A00000021030312ko.jpg?l=ko,헤어플러스,[단독기획] 헤어플러스 단백질 본드 워터에센스 200ml+50ml 증정기획,4.8,8932,"정제수, 미리스틸알코올, 아모다이메티콘, 하이드롤라이즈드밀단백질 (8,000ppm), 헥사펩타이드-9 , 팔미토일펜타펩타이드-4, 아세틸헥사펩타이드-8, 노나펩타이드-1, 카퍼트라이펩타이드-1, 팔미토일트라이펩타이드-1, 트라이펩타이드-1, 라이신, 히스티딘, 알지닌, 아스파틱애씨드, 트레오닌, 세린, 글루타믹애씨드, 프롤린, 글라이신, 알라닌, 발린, 메티오닌, 아이소류신, 류신, 타이로신, 페닐알라닌, 시스테인, 트립토판, 아스파라진, 글루타민, 실크가루, 누에고치추출물, 하이드롤라이즈드실크, 우유단백질추출물, 하이드롤라이즈드쌀단백질, 하이드롤라이즈드콩단백질, 하이드롤라이즈드엘라스틴, 하이드롤라이즈드케라틴, 하이드롤라이즈드콜라겐, 케라틴아미노산, 왕벚나무꽃추출물, 국화추출물, 서양유채꽃추출물, 삼색제비꽃추출물, 서양민들레뿌리추출물, 인동덩굴꽃추출물, 진흙버섯추출물, 황기뿌리추출물, 참당귀뿌리추출물, 감초뿌리추출물, 남가새열매추출물, 검정콩추출물, 귀리가루추출물, 녹두추출물, 로즈오브예리코추출물, 쌀추출물, 소듐하이알루로네이트, 세라마이드엔피, 글리세린, 에틸헥실글리세린, 트라이데세스-12, 다이프로필렌글라이콜, 부틸렌글라이콜, 베헨트라이모늄클로라이드, 세트리모늄클로라이드, 아이소프로필알코올, 다이소듐이디티에이, 카프릴릴글라이콜, 클로헥시딘다이글루코네이트, 1,2-헥산다이올, 향료","건성,탈모"
4,4,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000164902&dispCatNo=1000001000400130001&trackingCd=Cat1000001000400130001_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%97%A4%EC%96%B4%EC%9B%8C%ED%84%B0_%EC%86%8C_%ED%97%A4%EC%96%B4%EC%9B%8C%ED%84%B0__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=5,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0016/A00000016490220ko.jpg?l=ko,미쟝센,[NEW] 미쟝센 퍼펙트 세럼 80ml [오리지널/스타일링/워터리/리치] 4종 택1,4.8,47709,"사이클로펜타실록세인, 다이메티콘올, 다이실록세인, C12-15알킬벤조에이트, 향료, 아르간커넬오일, 호호바씨오일, 코코넛야자오일, 리모넨, 살구씨오일, 올리브오일, 마룰라씨오일, 동백나무씨오일, 코코-카프릴레이트/카프레이트, 리날룰, 시트로넬올, 카프릴릭/카프릭트라이글리세라이드, 제라니올, 고추추출물, 베타-카로틴, 토코페롤, 글라이코리피드",
5,5,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000208264&dispCatNo=1000001000400130001&trackingCd=Cat1000001000400130001_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%97%A4%EC%96%B4%EC%9B%8C%ED%84%B0_%EC%86%8C_%ED%97%A4%EC%96%B4%EC%9B%8C%ED%84%B0__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=6,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0020/A00000020826409ko.jpg?l=ko,솔랩,[10월 올영픽/기은세PICK] 솔랩 탈모증상완화 두피 영양 앰플 40ml 한정기획,5.0,8717,"[두피 앰플 팩]정제수,에탄올,블루아가베잎추출물,보검선인장줄기추출물,사막장미잎세포추출물,미로탐누스 플라벨리폴리아잎/줄기추출물,트레할로오스,바이오틴,토코페릴아세테이트,티아민에이치씨엘,사이아노코발아민,리보플라빈,피리독신,폴릭애씨드,메나다이온,바이오플라보노이드,아스코빅애씨드,부틸렌글라이콜,1.2-헥산다이올,에틸헥실글리세린,알로에베라잎추출물,코치닐선인장열매추출물,오미자추출물,레드초크베리추출물,밀리타리스동충하초추출물,꽃송이버섯추출물,글리세레스-25피씨에이아이소스테아레이트,카보머,아미노메틸프로판올,판테놀,판토락톤,멘톨,구주소나무잎추출물,펜틸렌글라이콜,카프릴릴글라이콜,살리실릭애씨드,하이드록시에틸셀룰로오스,클로페네신,유칼립투스잎오일,로즈마리잎오일,라벤더오일,피브이피,하이드로제네이티드레시틴,스쿠알란,세라마이드엔피,다이포타슘글리시리제이트,알란토인,구아이아줄렌,쇠비름추출물,병풀추출물,녹차추출물,마트리카리아꽃추출물,시트릭애씨드,덱스판테놀,황련뿌리추출물,글리세린,폴리솔베이트60,다이소듐포스페이트,쇼듐포스페이트,글루타티온,리모넨,리날룰[샴푸]정제수, 포타슘코코일글리시네이트, 코카마이드미파, 라우릴글루코사이드, 라우라미도프로필베타인, 테트라소듐이디티에이, 소듐클로라이드, 덱스판테놀, 멘톨, 1,2-헥산다이올, 폴리쿼터늄-10, 로즈마리잎오일, 시트릭애씨드, 징크피리치온, 부틸렌글라이콜, 살리실릭애씨드, 라벤더오일, 스타아니스추출물, 유칼립투스잎오일, 황련뿌리추출물, 황금추출물, 소듐폴리나프탈렌설포네이트, 판토락톤, 마뿌리추출물, 알부민추출물, 하이드롤라이즈드인삼사포닌, 비누풀잎추출물, 에틸헥실글리세린, 하이드롤라이즈드엘라스틴, 하이드롤라이즈드실크, 하이드롤라이즈드케라틴, 코치닐선인장열매추출물, 레드초크베리추출물, 알로에베라잎추출물, 오미자추출물, 꽃송이버섯추출물, 밀리타리스동충하초추출물, 리날룰, 리모넨","지성,건성,지루성,민감성,탈모"
6,6,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000168640&dispCatNo=1000001000400130001&trackingCd=Cat1000001000400130001_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%97%A4%EC%96%B4%EC%9B%8C%ED%84%B0_%EC%86%8C_%ED%97%A4%EC%96%B4%EC%9B%8C%ED%84%B0__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=7,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0016/A00000016864005ko.jpg?l=ko,미쟝센,미쟝센 컬링에센스 2X 볼륨컬/내추럴컬 230ml 택1,4.7,21542,"정제수, 다이메티콘, 사이클로펜타실록세인, 글리세린, 다이프로필렌글라이콜, 브이피/메타크릴아마이드/비닐이미다졸코폴리머, 에탄올, 아크릴레이트/스테아레스-20이타코네이트코폴리머, 폴리아크릴아마이드, 트로메타민, C13-14아이소파라핀, 카프릴릴글라이콜, 향료, 에틸헥실글리세린, 라우레스-7, 리날룰, 다이소듐이디티에이, 리모넨, 부틸렌글라이콜, 제라니올, 시트로넬올, 헥실신남알, 벤질살리실레이트, 석류추출물, 1,2-헥산다이올, 스쿠알란, 아르간커넬오일, 살구씨오일, 프로판다이올, 소듐하이알루로네이트, 동백나무잎추출물, 토코페롤, 동백나무꽃추출물, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 피씨에이, 락틱애씨드, 글루코오스, 하이알루로닉애씨드, 글라이신, 우레아, 소듐글리세로포스페이트, 세린, 글루타믹애씨드, 포타슘마그네슘아스파테이트, 아스파틱애씨드, 류신, 소듐클로라이드, 알라닌, 라이신, 알지닌, 칼슘글루코네이트, 마그네슘글루코네이트, 타이로신, 페닐알라닌, 프롤린, 트레오닌, 발린, 아이소류신, 시트릭애씨드, 소듐아세틸레이티드하이알루로네이트, 히스티딘, 아세틸글루코사민, 시스테인, 크레아틴, 우릭애씨드, 메티오닌","건성,민감성,지루성"
7,7,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000180613&dispCatNo=1000001000400130001&trackingCd=Cat1000001000400130001_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%97%A4%EC%96%B4%EC%9B%8C%ED%84%B0_%EC%86%8C_%ED%97%A4%EC%96%B4%EC%9B%8C%ED%84%B0__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=8,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0018/A00000018061334ko.jpg?l=ko,달리프,[1등헤어토닉] 달리프 클로렐라 탈모증상완화 헤어토닉 더블기획(100ml+100ml),4.7,13196,"정제수, 변성알코올, 클로렐라불가리스추출물(1,000 ppm), 부틸렌글라이콜, 글리세린, 1,2-헥산다이올,엘-멘톨, 살리실산, 덱스판테놀, 피씨에이, 트로메타민, 라벤더추출물, 베르가못잎추출물, 페퍼민트잎추출물, 프리지어추출물, 마트리카리아꽃추출물, 로즈마리잎추출물,에틸헥실글리세린, 하이드롤라이즈드케라틴, 하이드롤라이즈드실크, 하이드롤라이즈드콜라겐, 납작파래추출물, 개청각추출물, 자이언트켈프추출물, 다시마추출물, 겔리듐 카르틸라기네움추출물, 포르피리듐크루엔툼추출물, 알지닌, 향료","비듬,건성,지루성,민감성,탈모"
8,8,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000189266&dispCatNo=1000001000400130001&trackingCd=Cat1000001000400130001_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%97%A4%EC%96%B4%EC%9B%8C%ED%84%B0_%EC%86%8C_%ED%97%A4%EC%96%B4%EC%9B%8C%ED%84%B0__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=9,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0018/A00000018926610ko.jpg?l=ko,라보에이치,라보에이치 두피강화 앰플토닉 탈모증상완화 100ML(두피집중영양),4.7,1666,"정제수, 변성알코올, 녹차추출물, 피이지-60하이드로제네이티드캐스터오일, 카프릴릴글라이콜, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 멘톨, 덱스트린, 프로판다이올, 아미노메틸프로판올, 다이소듐이디티에이, 에틸헥실글리세린, 페퍼민트오일, 스타아니스열매/씨오일, 로즈마리잎오일, 연필향나무오일, 락토바실러스발효용해물, 콘민트오일, 효모/보리씨발효여과물, 검정콩추출물, 에탄올, 부틸렌글라이콜, 유칼립투스잎오일, 바질오일, 1,2-헥산다이올, 생강추출물, 바이오틴, 캐모마일꽃오일, 소듐하이알루로네이트, 향기제비꽃잎추출물, 토코페롤, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 호프추출물, 하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트",건성
9,9,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000131528&dispCatNo=1000001000400130001&trackingCd=Cat1000001000400130001_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%97%A4%EC%96%B4%EC%9B%8C%ED%84%B0_%EC%86%8C_%ED%97%A4%EC%96%B4%EC%9B%8C%ED%84%B0__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=10,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0013/A00000013152815ko.jpg?l=ko,차홍,차홍 픽스 볼륨 헤어 스프레이 (3초 볼륨 픽서) 2종 택1,4.5,5469,"변성알코올, 아크릴레이트/옥틸아크릴아마이드코폴리머, 아미노메틸프로판올, 정제수, 라벤더추출물, 베르가못잎추출물, 페퍼민트잎추출물, 프리지아추출물, 마트리카리아꽃추출물, 로즈마리잎추출물, 1,2-헥산다이올, 부틸렌글라이콜, 연꽃꽃추출물, 안젤리카뿌리추출물, 에틸헥실글리세린, 향료",건성
10,10,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000165383&dispCatNo=1000001000400130001&trackingCd=Cat1000001000400130001_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%97%A4%EC%96%B4%EC%9B%8C%ED%84%B0_%EC%86%8C_%ED%97%A4%EC%96%B4%EC%9B%8C%ED%84%B0__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=11,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0016/A00000016538305ko.jpg?l=ko,미쟝센,[대용량][NEW] 미쟝센 퍼펙트 오리지널 세럼 200ml,4.8,17487,"사이클로펜타실록세인, 다이메티콘올, 다이실록세인, C12-15알킬벤조에이트, 향료, 아르간커넬오일, 호호바씨오일, 코코넛야자오일, 리모넨, 살구씨오일, 올리브오일, 마룰라씨오일, 동백나무씨오일, 코코-카프릴레이트/카프레이트, 리날룰, 시트로넬올, 카프릴릭/카프릭트라이글리세라이드, 제라니올, 고추추출물, 베타-카로틴, 토코페롤, 글라이코리피드",
11,11,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000211407&dispCatNo=1000001000400130001&trackingCd=Cat1000001000400130001_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%97%A4%EC%96%B4%EC%9B%8C%ED%84%B0_%EC%86%8C_%ED%97%A4%EC%96%B4%EC%9B%8C%ED%84%B0__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=12,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0021/A00000021140702ko.jpg?l=ko,닥터그루트,[10월 올영픽] 닥터그루트 아쿠아 두피 영양 토닉 100ml 기획(+50ml+괄사 증정),4.9,1609,"""정제수, 변성알코올, 나이아신아마이드, 다이프로필렌글라이콜, 다이에톡시에틸석시네이트, 덱스판테놀(판테놀), 피이지-40하이드로제네이티드캐스터오일, 아데노신, 에스신, 멘톨, 글루코노락톤, 클림바졸, 부틸렌글라이콜, 글리세린, 하이드록시에틸셀룰로오스, 소듐시트레이트, 시트릭애씨드, 피록톤올아민, 베타인, 살리실릭애씨드, 트레할로오스, 로즈마리잎추출물, 바이오틴, 페룰릭애씨드, 소듐하이알루로네이트, 락토코쿠스발효용해물, 이눌린, 토코페롤, 돌콩오일, 다이소듐포스페이트, 소듐포스페이트, 피이지-크로스폴리머, 카페인, 세라마이드엔피, 펜틸렌글라이콜, 황금추출물, 카프릴릭/카프릭트라이글리세라이드, 효모추출물, 1,2-헥산다이올, 글라이신, 약모밀추출물, 소듐벤조에이트, 소듐아스코베이트, 세린, 글루타믹애씨드, 병풀잎추출물, 맥주효모추출물, 유칼립투스잎추출물, 아스파틱애씨드, 류신, 카프릴릴글라이콜, 페녹시에탄올, 레티놀, 알라닌, 라이신, 베타-글루칸, 알지닌, 소듐클로라이드, 타이로신, 페닐알라닌, 프롤린, 트레오닌, 발린, 아이소류신, 히스티딘, 시스테인, 메티오닌, 편백잎추출물, 에틸헥실글리세린, 비피다발효용해물, 락토바실러스발효용해물, 향료, 리모넨, 리날룰, 시트로넬올, 제라니올, 하이드록시시트로넬알, 시트랄, 헥실신남알, 쿠마린""","지성,건성,민감성,탈모"
12,12,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000007286&dispCatNo=1000001000400130001&trackingCd=Cat1000001000400130001_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%97%A4%EC%96%B4%EC%9B%8C%ED%84%B0_%EC%86%8C_%ED%97%A4%EC%96%B4%EC%9B%8C%ED%84%B0__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=13,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0000/A00000000728602ko.jpg?l=ko,포레스트스토리,포레스트스토리 슈퍼하드 워터스프레이 100ml,4.5,15045,"변성알코올, 아크릴레이트/옥틸아크릴아마이드코폴리머, 정제수, 아미노메틸프로판올, 판테놀, 글라이신, 레시틴, 인디안구스베리열매추출물, 하이드롤라이즈드콜라겐, 젤라틴, 하이드롤라이즈드케라틴, 귀리커넬추출물, 하이드롤라이즈드옥수수단백질, 하이드롤라이즈드콩단백질, 하이드롤라이즈드밀단백질, 사이클로펜타실록세인, 부틸렌글라이콜, 글리세린, 카프릴릭/카프릭트라이글리세라이드, 카퍼트라이펩타이드-1, 소듐아스코빌포스페이트, 에탄올, 다이소듐이디티에이, 페녹시에탄올, 에틸헥실글리세린, 에틸헥산다이올, 1,2-헥산다이올, 향료(알파-아이소메틸아이오논, 벤질벤조에이트, 벤질살리실레이트, 시트랄, 시트로넬올, 리모넨, 제라니올, 헥실신남알, 부틸페닐메틸프로피오날, 리날룰)","건성,민감성,탈모"
13,13,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000183433&dispCatNo=1000001000400130001&trackingCd=Cat1000001000400130001_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%97%A4%EC%96%B4%EC%9B%8C%ED%84%B0_%EC%86%8C_%ED%97%A4%EC%96%B4%EC%9B%8C%ED%84%B0__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=14,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0018/A00000018343302ko.jpg?l=ko,바이브랩,바이브랩 리바이브 테라피 헤어 브로우 래쉬 세럼 (헤어라인 겸용),4.7,790,"정제수, 글리세린, 부틸렌글라이콜, 1,2-헥산다이올, 트로메타민, 카보머, 프로판다이올, 다이소듐이디티에이, 피이지-40하이드로제네이티드캐스터오일, 사과세포배양추출물, 피피지-26-부테스-26, 지황뿌리추출물, 판테놀, 카프릴릴글라이콜, 구기자추출물, 비치스트로베리추출물, 불가리스매자뿌리추출물, 검은뽕나무열매추출물, 산수유열매추출물, 질경이택사덩이줄기추출물, 에틸헥실글리세린, 모란뿌리추출물, 참마뿌리추출물, 중국토복령추출물, 미리스토일펜타펩타이드-4, 알라닌/히스티딘/라이신폴리펩타이드카퍼에이치씨엘, 하이드록시아세토페논, 동백나무꽃추출물, 칼메그추출물, 카퍼트라이펩타이드-1, 요엽후박나무껍질추출물, 바이오틴, 펜틸렌글라이콜, 레스페데자 카피타타잎/줄기추출물, 스페인감초뿌리추출물, 마데카소사이드, 하이드록시프로필사이클로덱스트린, 병풀추출물, 데실글루코사이드, 감추출물, 동백나무잎추출물, 캐롭열매추출물, 녹차추출물, 황금추출물, 쓴풀추출물, 하수오뿌리추출물, 한련초추출물, 호장근뿌리추출물, 참당귀뿌리추출물, 울금뿌리추출물, 측백나무잎추출물, 생강추출물, 당개나리열매추출물, 오미자추출물, 은행나무잎추출물, 인삼추출물, 잇꽃꽃추출물, 감초뿌리추출물, 검정콩추출물, 산구절초추출물, 무화과추출물, 쑥잎추출물, 약모밀추출물, 영지버섯추출물, 고삼뿌리추출물, 석창포추출물, 마트리카리아꽃추출물, 로즈마리잎추출물, 아스퍼질러스발효물","건성,민감성,탈모"
14,14,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000180541&dispCatNo=1000001000400130001&trackingCd=Cat1000001000400130001_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%97%A4%EC%96%B4%EC%9B%8C%ED%84%B0_%EC%86%8C_%ED%97%A4%EC%96%B4%EC%9B%8C%ED%84%B0__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=15,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0018/A00000018054122ko.jpg?l=ko,미쟝센,미쟝센 살롱10 노워시 극손상 앰플 트리트먼트 200ml+70ml 단독기획,4.7,3573,"정제수, 다이에톡시에틸석시네이트, 미리스틸알코올, 아이소펜틸다이올, 스테아라미도프로필다이메틸아민, 글리세릴올리에이트, 향료, 락틱애씨드, 부틸렌글라이콜, 에틸헥실글리세린, 다이소듐이디티에이, 리모넨, 하이드롤라이즈드식물성단백질, 1,2-헥산다이올, 제라니올, 다마스크장미꽃추출물, 헥실신남알, 리날룰, 돌콩오일, 돌콩스테롤, 빌베리열매추출물, 만니톨, 알지닌, 세린, 헥실라우레이트, 시트로넬올, 수크로오스, 사탕수수추출물, 피씨에이, 시트룰린, 아보카도오일, 덱스트린, 글라이코젠, 히스티딘에이치씨엘, 알라닌, 오렌지추출물, 레몬추출물, 트레오닌, 인삼추출물, 소듐벤조에이트, 세테아릴알코올, 글루타믹애씨드, 토코페롤, 라이신에이치씨엘, 설탕단풍추출물, 레시틴, 아스코빌팔미테이트, 하이드로제네이티드팜글리세라이즈시트레이트, 하이드롤라이즈드콜라겐","건성,민감성"
